Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,REPORTING_TYPE,TIME_DETAIL,Value
2015,IT_NET_BBNDN,IS_GE10M,NUMBER,N,2015,134858.0
2015,IT_NET_BBNDN,_T,NUMBER,N,2015,309823.0
2015,IT_NET_BBNDN,IS_2MT10M,NUMBER,N,2015,78643.0
2015,IT_NET_BBNDN,IS_256KT2M,NUMBER,N,2015,96322.0
2015,IT_NET_BBND,IS_GE10M,PER_100_POP,N,2015,1.47
2015,IT_NET_BBND,_T,PER_100_POP,N,2015,3.38
2015,IT_NET_BBND,IS_2MT10M,PER_100_POP,N,2015,0.86
2015,IT_NET_BBND,IS_256KT2M,PER_100_POP,N,2015,1.05
2016,IT_NET_BBNDN,IS_GE10M,NUMBER,N,2016,153081.0
2016,IT_NET_BBNDN,_T,NUMBER,N,2016,300598.0
2016,IT_NET_BBNDN,IS_2MT10M,NUMBER,N,2016,120078.0
2016,IT_NET_BBNDN,IS_256KT2M,NUMBER,N,2016,27439.0
2016,IT_NET_BBND,IS_GE10M,PER_100_POP,N,2016,1.62
2016,IT_NET_BBND,_T,PER_100_POP,N,2016,3.18
2016,IT_NET_BBND,IS_2MT10M,PER_100_POP,N,2016,1.27
2016,IT_NET_BBND,IS_256KT2M,PER_100_POP,N,2016,0.29
2017,IT_NET_BBNDN,IS_GE10M,NUMBER,N,2017,270728.0
2017,IT_NET_BBNDN,_T,NUMBER,N,2017,333691.0
2017,IT_NET_BBNDN,IS_2MT10M,NUMBER,N,2017,46259.0
2017,IT_NET_BBNDN,IS_256KT2M,NUMBER,N,2017,16704.0
2017,IT_NET_BBND,IS_GE10M,PER_100_POP,N,2017,2.79
2017,IT_NET_BBND,_T,PER_100_POP,N,2017,3.44
2017,IT_NET_BBND,IS_2MT10M,PER_100_POP,N,2017,0.48
2017,IT_NET_BBND,IS_256KT2M,PER_100_POP,N,2017,0.17
